"category","type","question","correctAnswers","correctAnswers__-","wrongAnswers__001","wrongAnswers__002","wrongAnswers__003","wrongAnswers__004","answerType","answerQuantity","answerKey"
"government","systems","What is the name of the President of the United States now?","","Donald J. Trump","Religious freedom","Socialist economy","South Carolina","Zuni","peopleAnswer","null","president"
"government","systems","What is the name of the Vice President of the United States now?","","Mike Pence","Publicly support or oppose an issue or policy","At age eighteen (18)","Secretary of Transportation","because there are 50 states","peopleAnswer","null","vicePresident"
"government","systems","If the President can no longer serve, who becomes President?","","The Vice President","You can practice any religion, or not practice a religion.","The Speaker of the House","The Secretary of State","The Chief Justice","singleAnswer","null","null"
"government","systems","If both the President and the Vice President can no longer serve, who becomes President?","","The Speaker of the House","The Secretary of State","The Chief Justice","The President Pro Tempore of the Senate","Provide protection (police)","singleAnswer","null","null"
"government","systems","Who is the Commander in Chief of the military?","","The President","The Secretary of Defense","The Vice President","The Chairman of the Joint Chiefs","Secretary of the Interior","singleAnswer","null","null"
"government","systems","Who signs bills to become laws?","","The President","October","The Speaker of the House","The Vice President","The Chief Justice","singleAnswer","null","null"
"government","systems","Who vetoes bills?","","The President","The Speaker of the House","Navajo","The Chief Justice","The Senate Majority Leader","singleAnswer","null","null"
"government","systems","What does the President Cabinet do?","","Advises the President","Commands the military","1776","Writes federal regulations","Approves laws","singleAnswer","null","null"
"government","systems","What are two Cabinet-level positions?","Secretary of Commerce","","Majority Leader","Speaker of the House","Blackfeet","Chief Justice","multipleAnswer","2","null"
"","","","Secretary of the Interior","","","","","","","",""
"","","","Secretary of Veterans Affairs","","","","","","","",""
"","","","Secretary of Homeland Security","","","","","","","",""
"","","","Secretary of Health and Human Services","","","","","","","",""
"","","","Attorney General","","","","","","","",""
"","","","Secretary of Education","","","","","","","",""
"","","","Secretary of State","","","","","","","",""
"","","","Secretary of Labor","","","","","","","",""
"","","","Secretary of the Treasury","","","","","","","",""
"","","","Vice President","","","","","","","",""
"","","","Secretary of Agriculture","","","","","","","",""
"","","","Secretary of Transportation","","","","","","","",""
"","","","Secretary of Housing and Urban Development","","","","","","","",""
"","","","Secretary of Energy","","","","","","","",""
"","","","Secretary of Defense","","","","","","","",""
"government","systems","What does the judicial branch do?","Reviews laws","","Appoints federal judges","June 14","Enforces laws","Press","interchangeAnswer","null","null"
"","","","Explains laws","","","","","","","",""
"","","","Resolves disputes (disagreements)","","","","","","","",""
"","","","Decides if a law goes against the Constitution","","","","","","","",""
"government","systems","What is the highest court in the United States?","","The Supreme Court","Only state lawmakers","The District Court","The Constitutional Court","The Federal Court of Appeals","singleAnswer","null","null"
"government","systems","How many justices are on the Supreme Court?","","Nine (9)","Twelve (12)","Seven (7)","Ten (10)","You must choose a religion by age 18.","singleAnswer","null","null"
"government","systems","Who is the Chief Justice of the United States now?","","John Roberts","Vietnam War","California","Defend the Constitution and laws of the United States","Planned economy","peopleAnswer","null","chiefJustice"
"government","systems","Under our Constitution, some powers belong to the federal government. What is one power of the federal government?","To make treaties","","To issue driver licenses","To set up schools","Korean War","Sioux","interchangeAnswer","null","null"
"","","","To create an army","","","","","","","",""
"","","","To print money","","","","","","","",""
"","","","To declare war","","","","","","","",""
"government","systems","Under our Constitution, some powers belong to the states. What is one power of the states?","Provide schooling and education","","Freedom","Delaware","The Bill of Rights was debated","Print money","interchangeAnswer","null","null"
"","","","Give a driver license","","","","","","","",""
"","","","Approve zoning and land use","","","","","","","",""
"","","","Provide safety (fire departments)","","","","","","","",""
"","","","Provide protection (police)","","","","","","","",""
"government","systems","Who is the Governor of your state now?","","Answers will vary","Oneida","Only if joining the military","John Roberts","No one is above the law","stateAnswer","null","governor"
"government","systems","What is the capital of your state?","","Answers will vary","Philadelphia","South Carolina","Massachusetts","Market economy","stateAnswer","null","null"
"government","systems","What are the two major political parties in the United States?","","Democratic and Republican","Serve in the U.S. military (if needed)","Green and Libertarian","Federalist and Whig","Labor and Conservative","singleAnswer","null","null"
"government","systems","What is the political party of the President now?","","Republican","Independent","Secretary of Homeland Security","Libertarian","Democratic","singleAnswer","null","null"
"government","systems","What is the name of the Speaker of the House of Representatives now?","","Nancy Pelosi","Nine (9)","Attorney General","Federalist and Whig","Obey the laws of the United States","peopleAnswer","null","speaker"
"government","rights","There are four amendments to the Constitution about who can vote. Describe one of them.","Citizens eighteen (18) and older can vote","","Only property owners can vote","Only taxpayers can vote","Trial by jury","Valentine Day","interchangeAnswer","null","null"
"","","","A male citizen of any race (can vote).","","","","","","","",""
"","","","You dont have to pay (a poll tax) to vote","","","","","","","",""
"","","","Any citizen can vote. (Women and men can vote)","","","","","","","",""
"government","rights","What is one responsibility that is only for United States citizens?","Vote in a federal election","","Give an elected official your opinion on an issue","Pay taxes","A court ruling","Obey the law","interchangeAnswer","null","null"
"","","","Serve on a jury","","","","","","","",""
"government","rights","Name one right only for United States citizens","Run for federal office","","The Congress","Freedom of religion","Freedom of speech","Declared our independence (from Great Britain)","interchangeAnswer","null","null"
"","","","Vote in a federal election","","","","","","","",""
"government","rights","What are two rights of everyone living in the United States?","freedom of religion","","because there is one star for each state","free college education","Because they have more people","New York","multipleAnswer","2","null"
"","","","freedom of expression","","","","","","","",""
"","","","the right to bear arms","","","","","","","",""
"","","","freedom of assembly","","","","","","","",""
"","","","freedom to petition the government","","","","","","","",""
"","","","freedom of speech","","","","","","","",""
"government","rights","What do we show loyalty to when we say the Pledge of Allegiance?","The flag","","The military","The Constitution","Valentine Day","Secretary of Agriculture","interchangeAnswer","null","null"
"","","","The United States","","","","","","","",""
"government","rights","What is one promise you make when you become a United States citizen?","Be loyal to the United States","","Only taxpayers can vote","Pay no taxes","Only state lawmakers","Twenty-seven (27)","interchangeAnswer","null","null"
"","","","Give up loyalty to other countries","","","","","","","",""
"","","","Serve (do important work for) the nation (if needed)","","","","","","","",""
"","","","Obey the laws of the United States","","","","","","","",""
"","","","Defend the Constitution and laws of the United States","","","","","","","",""
"","","","Serve in the U.S. military (if needed)","","","","","","","",""
"government","rights","How old do citizens have to be to vote for President?","","Eighteen (18) and older","Sixteen (16) and older","Any age with parental consent","freedom of expression","Twenty-one (21) and older","singleAnswer","null","null"
"government","rights","What are two ways that Americans can participate in their democracy?","Write to a newspaper","","Pay extra taxes","Martin Luther King, Jr. Day","Join the military to vote","Atlantic Ocean","multipleAnswer","2","null"
"","","","Run for office","","","","","","","",""
"","","","Join a community group","","","","","","","",""
"","","","Join a civic group","","","","","","","",""
"","","","Publicly support or oppose an issue or policy","","","","","","","",""
"","","","Call Senators and Representatives","","","","","","","",""
"","","","Give an elected official your opinion on an issue","","","","","","","",""
"","","","Help with a campaign","","","","","","","",""
"","","","Vote","","","","","","","",""
"","","","Join a political party","","","","","","","",""
"government","rights","When is the last day you can send in federal income tax forms?","","April 15","December 31","War of 1812","May 1","March 1","singleAnswer","null","null"
"government","rights","When must all men register for the Selective Service?","Between eighteen (18) and twenty-six (26)","","The Secretary of Defense","Only if joining the military","Choctaw","Before turning 16","interchangeAnswer","null","null"
"","","","At age eighteen (18)","","","","","","","",""
"history-geo","history-colonial","What is one reason colonists came to America?","Economic opportunity","","Secretary of the Interior","To conquer the British","To avoid paying taxes","Maryland","interchangeAnswer","null","null"
"","","","Practice their religion","","","","","","","",""
"","","","Escape persecution","","","","","","","",""
"","","","Religious freedom","","","","","","","",""
"","","","Freedom","","","","","","","",""
"","","","Political liberty","","","","","","","",""
"history-geo","history-colonial","Who lived in America before the Europeans arrived?","","Native Americans","Declared our independence (from Great Britain)","Africans","Pilgrims","British settlers","singleAnswer","null","null"
"history-geo","history-colonial","What group of people was taken to America and sold as slaves?","Africans","","Montana","Native Americans","Europeans","Presidents Day","interchangeAnswer","null","null"
"","","","People from Africa","","","","","","","",""
"history-geo","history-colonial","Why did the colonists fight the British?","Because they didnt have self-government","","Huron","Because they disliked tea","New York City","Signer of the Emancipation Proclamation","singleAnswer","","null"
"","","","Because the British army stayed in their houses (boarding, quartering)","","","","","","","",""
"","","","Because of high taxes (taxation without representation)","","","","","","","",""
"history-geo","history-colonial","Who wrote the Declaration of Independence?","","Thomas Jefferson","John Adams","Chief Justice","Benjamin Franklin","George Washington","singleAnswer","null","null"
"history-geo","history-colonial","When was the Declaration of Independence adopted?","","July 4, 1776","June 4, 1776","September 17, 1787","July 2, 1776","A removal of a law","singleAnswer","null","null"
"history-geo","history-colonial","There were 13 original states. Name three.","North Carolina","","To print money","Ohio","Vermont","Obey the law","multipleAnswer","3","null"
"","","","Pennsylvania","","","","","","","",""
"","","","Maryland","","","","","","","",""
"","","","New Jersey","","","","","","","",""
"","","","Georgia","","","","","","","",""
"","","","Delaware","","","","","","","",""
"","","","Massachusetts","","","","","","","",""
"","","","South Carolina","","","","","","","",""
"","","","Connecticut","","","","","","","",""
"","","","Virginia","","","","","","","",""
"","","","New Hampshire","","","","","","","",""
"","","","Rhode Island","","","","","","","",""
"","","","New York","","","","","","","",""
"history-geo","history-colonial","What happened at the Constitutional Convention?","The Constitution was written","","War of 1812","The Bill of Rights was debated","January","The Declaration of Independence was signed","interchangeAnswer","null","null"
"","","","The Founding Fathers wrote the Constitution","","","","","","","",""
"history-geo","history-colonial","When was the Constitution written?","","1787","1801","1776","Pennsylvania","1791","singleAnswer","null","null"
"history-geo","history-colonial","The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers","Publius","","Only state lawmakers","World War II","Apache","George Washington","interchangeAnswer","null","null"
"","","","John Jay","","","","","","","",""
"","","","James Madison","","","","","","","",""
"","","","Alexander Hamilton","","","","","","","",""
"history-geo","history-colonial","What is one thing Benjamin Franklin is famous for?","U.S. diplomat","","Arctic Ocean","Immigration","The Secretary of State","Signer of the Emancipation Proclamation","interchangeAnswer","null","null"
"","","","Oldest member of the Constitutional Convention","","","","","","","",""
"","","","First Postmaster General of the United States","","","","","","","",""
"","","","Started the first free libraries","","","","","","","",""
"","","","Writer of Poor Richard Almanac","","","","","","","",""
"history-geo","history-colonial","Who is the Father of Our Country?","","George Washington","Vote","Donald J. Trump","May 1","Japan, Korea, and Vietnam","peopleAnswer","null","washington"
"history-geo","history-colonial","Who was the first President?","","George Washington","Fought for civil rights","To conquer the British","The United States","The District Court","peopleAnswer","null","washington"
"history-geo","history-1800","What territory did the United States buy from France in 1803?","Louisiana","","Independence Day","Texas","Florida","Freed the slaves (Emancipation Proclamation)","interchangeAnswer","null","null"
"","","","The Louisiana Territory","","","","","","","",""
"history-geo","history-1800","Name one war fought by the United States in the 1800s","Civil War","","Japan, Korea, and Vietnam","Independence Day","World War I","Nuclear power plants","interchangeAnswer","null","null"
"","","","Mexican-American War","","","","","","","",""
"","","","War of 1812","","","","","","","",""
"","","","Spanish-American War","","","","","","","",""
"history-geo","history-1800","Name the U.S. war between the North and the South.","","The Civil War","The Revolutionary War","The Vietnam War","The Korean War","Twenty-one (21)","singleAnswer","null","null"
"history-geo","history-1800","Name one problem that led to the Civil War","economic reasons","","Write to a newspaper","taxation without representation","A removal of a law","Nuclear power plants","interchangeAnswer","null","null"
"","","","slavery","","","","","","","",""
"","","","states rights","","","","","","","",""
"history-geo","history-1800","What was one important thing that Abraham Lincoln did?","Led the United States during the Civil War","","Pay extra taxes","slavery","Oldest member of the Constitutional Convention","Declared war on Britain","interchangeAnswer","null","null"
"","","","Saved (or preserved) the Union","","","","","","","",""
"","","","Freed the slaves (Emancipation Proclamation)","","","","","","","",""
"history-geo","history-1800","What did the Emancipation Proclamation do?","","Freed slaves in the Confederate states","Gave women the right to vote","Ended the Civil War","Established the U.S. Constitution","Leaders must obey the law","singleAnswer","null","null"
"history-geo","history-1800","What did Susan B. Anthony do?","fought for civil rights","","wrote the Constitution","led the Civil War","Because of the state population","Maryland","interchangeAnswer","null","null"
"","","","fought for women rights","","","","","","","",""
"history-geo","history-modern","Name one war fought by the United States in the 1900s.","(Persian) Gulf War","","The Chief Justice","Revolutionary War","September 17","Because they didnt have self-government","interchangeAnswer","null","null"
"","","","Vietnam War","","","","","","","",""
"","","","World War I","","","","","","","",""
"","","","World War II","","","","","","","",""
"","","","Korean War","","","","","","","",""
"history-geo","history-modern","Who was President during World War I?","","Woodrow Wilson","Mohegan","Congress","Vermont","Answers will vary","peopleAnswer","null","wilson"
"history-geo","history-modern","Who was President during the Great Depression and World War II?","","Franklin Roosevelt","Only if joining the military","Thanksgiving","Leaders must obey the law","Approve zoning and land use","peopleAnswer","null","roosevelt"
"history-geo","history-modern","Who did the United States fight in World War II?","","Japan, Germany, and Italy","Russia, China, and Germany","France, Germany, and Britain","Japan, Korea, and Vietnam","California","singleAnswer","null","null"
"history-geo","history-modern","Before he was President, Eisenhower was a general. What war was he in?","","World War II","Japan, Korea, and Vietnam","Vietnam War","World War I","Korean War","singleAnswer","null","null"
"history-geo","history-modern","During the Cold War, what was the main concern of the United States?","","Communism","Gave women the right to vote","Terrorism","Immigration","Nuclear power plants","singleAnswer","null","null"
"history-geo","history-modern","What movement tried to end racial discrimination?","","Civil rights (movement)","Only people who voted for them","Green movement","Labor movement","Women suffrage","singleAnswer","null","null"
"history-geo","history-modern","What did Martin Luther King, Jr. do?","Fought for civil rights","","Wrote the Declaration of Independence","Was a U.S. President","Freedom from taxation","two (2)","interchangeAnswer","null","null"
"","","","Worked for equality for all Americans","","","","","","","",""
"history-geo","history-modern","What major event happened on September 11, 2001, in the United States?","","Terrorists attacked the United States.","The Civil Rights Act was passed.","The U.S. declared war on Iraq.","led the Civil War","The stock market crashed.","singleAnswer","null","null"
"history-geo","history-modern","Name one American Indian tribe in the United States.","Choctaw","","Executive","Established the U.S. Constitution","led the Civil War","Zuni","interchangeAnswer","null","null"
"","","","Apache","","","","","","","",""
"","","","Seminole","","","","","","","",""
"","","","Pueblo","","","","","","","",""
"","","","Sioux","","","","","","","",""
"","","","Inuit","","","","","","","",""
"","","","Navajo","","","","","","","",""
"","","","Teton","","","","","","","",""
"","","","Oneida","","","","","","","",""
"","","","Creek","","","","","","","",""
"","","","Arawak","","","","","","","",""
"","","","Lakota","","","","","","","",""
"","","","Shawnee","","","","","","","",""
"","","","Blackfeet","","","","","","","",""
"","","","Cheyenne","","","","","","","",""
"","","","Huron","","","","","","","",""
"","","","Crow","","","","","","","",""
"","","","Cherokee","","","","","","","",""
"","","","Hopi","","","","","","","",""
"","","","Mohegan","","","","","","","",""
"","","","Chippewa","","","","","","","",""
"","","","Iroquois","","","","","","","",""
"history-geo","geography","Name one of the two longest rivers in the United States","Mississippi River","","Mohegan","Two hundred (200)","Rio Grande","Colorado River","interchangeAnswer","null","null"
"","","","Missouri River","","","","","","","",""
"history-geo","geography","What ocean is on the West Coast of the United States?","","Pacific Ocean","Arctic Ocean","Atlantic Ocean","Labor Day","Indian Ocean","singleAnswer","null","null"
"history-geo","geography","What ocean is on the East Coast of the United States?","","Atlantic Ocean","Southern Ocean","Pacific Ocean","Alaska","Indian Ocean","singleAnswer","null","null"
"history-geo","geography","Name one U.S. territory.","U.S. Virgin Islands","","Because they didnt have self-government","eight (8)","Serve (do important work for) the nation (if needed)","Hawaii","interchangeAnswer","null","null"
"","","","Northern Mariana Islands","","","","","","","",""
"","","","Guam","","","","","","","",""
"","","","American Samoa","","","","","","","",""
"","","","Puerto Rico","","","","","","","",""
"history-geo","geography","Name one state that borders Canada.","Pennsylvania","","Independent","Ended the Civil War","Texas","California","interchangeAnswer","null","null"
"","","","North Dakota","","","","","","","",""
"","","","Idaho","","","","","","","",""
"","","","Minnesota","","","","","","","",""
"","","","Montana","","","","","","","",""
"","","","Ohio","","","","","","","",""
"","","","Maine","","","","","","","",""
"","","","Alaska","","","","","","","",""
"","","","Michigan","","","","","","","",""
"","","","Vermont","","","","","","","",""
"","","","New Hampshire","","","","","","","",""
"","","","Washington","","","","","","","",""
"","","","New York","","","","","","","",""
"history-geo","geography","Name one state that borders Mexico.","New Mexico","","Nevada","To declare war","Utah","Secretary of the Treasury","interchangeAnswer","null","null"
"","","","Texas","","","","","","","",""
"","","","Arizona","","","","","","","",""
"","","","California","","","","","","","",""
"history-geo","geography","What is the capital of the United States?","","Washington, D.C.","Philadelphia","New York City","four (4)","Los Angeles","singleAnswer","null","null"
"history-geo","geography","Where is the Statue of Liberty?","Liberty Island","","Ellis Island","Benjamin Franklin","Immigration","Washington, D.C.","interchangeAnswer","null","null"
"","","","New York (Harbor)","","","","","","","",""
"history-geo","symbols","Why does the flag have 13 stripes?","because there were 13 original colonies","","because of 13 founding fathers","because there were 13 amendments","Choctaw","Vermont","interchangeAnswer","null","null"
"","","","because the stripes represent the original colonies","","","","","","","",""
"history-geo","symbols","Why does the flag have 50 stars?","because each star represents a state","","Connecticut","because of the 50 founding fathers","Give up loyalty to other countries","Pay taxes","interchangeAnswer","null","null"
"","","","because there are 50 states","","","","","","","",""
"","","","because there is one star for each state","","","","","","","",""
"history-geo","symbols","What is the name of the national anthem?","","The Star-Spangled Banner","My Country, 'Tis of Thee","God Bless America","America the Beautiful","The United States","singleAnswer","null","null"
"history-geo","symbols","When do we celebrate Independence Day?","","July 4","Philadelphia","June 14","September 17","July 1","singleAnswer","null","null"
"history-geo","symbols","Name two national U.S. holidays.","Christmas","","Cherokee","Easter","September 17","Valentine Day","multipleAnswer","2","null"
"","","","Veterans Day","","","","","","","",""
"","","","Columbus Day","","","","","","","",""
"","","","Independence Day","","","","","","","",""
"","","","Thanksgiving","","","","","","","",""
"","","","Presidents Day","","","","","","","",""
"","","","Labor Day","","","","","","","",""
"","","","New Year Day","","","","","","","",""
"","","","Martin Luther King, Jr. Day","","","","","","","",""
"","","","Memorial Day","","","","","","","",""
